Name,Year,Rating,Verdict,Color,Intensity,Aroma,Sweetness,Acidity,Alcohol,Tannin,Balance,Finish,Aftertaste
"BODEGAS JUAN GIL, Llicorella, Bluegray, Red Blend, Priorat",2019,92.4,fine,9.5,9.5,9.6,9.1,9.0,9.0,9.4,9.1,9.0,9.0
"PURCARI, Feteasca Neagra de Purcari",2019,91.7,fine,9.3,9.5,9.5,9.1,9.0,9.0,9.0,9.0,9.3,9.0
"VIA VITICOLA, Épiphanie",2019,93.7,great,9.7,9.6,9.6,9.5,9.4,9.3,9.2,9.2,9.1,9.1
"FÁUTOR, Tempranillo",2018,91.3,fine,9.4,9.5,9.7,8.9,8.9,8.8,9.2,8.9,9.2,8.8
"ET CETERA, Carmenere",2018,90.7,nice,9.6,9.5,9.6,8.9,8.8,8.9,8.8,8.8,9.1,8.7
"SANTO WINES, Mavrotragano",2018,92.5,fine,9.4,9.5,9.6,9.0,9.1,9.1,9.3,9.1,9.3,8.9
"CRAMA BAUER, Cabernet Franc",2018,93.3,great,9.5,9.7,9.7,9.3,9.0,9.1,9.0,9.0,9.3,9.1
"CRAMA FERDI, Red King Rezerva",2018,92.8,fine,9.5,9.5,9.5,9.3,9.0,8.9,9.4,9.0,9.4,8.9
"VINARTE, Soare, Cabernet Sauvignon",2017,94.4,great,9.6,9.7,9.7,9.3,9.3,9.4,9.5,9.4,9.5,9.1
"CRAMA OPRISOR, Cabernet Sauvignon",2017,93.5,great,9.7,9.6,9.7,9.0,9.0,9.0,9.3,9.0,9.3,9.1
"ALPHA ESTATE, Ecosystem, Xinomavro, Reserve, Single Block",2016,92.9,fine,9.4,9.5,9.7,9.0,9.1,9.1,9.3,9.0,9.4,9.0
"PRINCE STIRBEY, Merlot, Rezerva, Ordinul de Malta",2016,93.2,great,9.6,9.6,9.7,9.0,9.1,9.0,9.3,9.0,9.3,9.0
"VINOS DE POTRERO, El Debut de Potrero, Gualtallary",2014,92.4,fine,9.7,9.6,9.6,9.1,9.0,8.9,9.3,9.0,9.4,8.8
"LA JARA, Prosecco, Brut",2014,90.4,nice,9.6,9.6,9.6,8.7,8.8,8.9,8.8,8.8,8.8,8.8
"TOHANI, Flori de Gheata, Rose Dulce",2014,91.7,fine,9.4,9.4,9.4,9.1,9.1,9.1,9.0,9.1,9.1,9.0
"VIA VITICOLA, Scentico, Chardonnay",2014,91.5,fine,9.5,9.5,9.7,8.9,9.1,8.9,8.9,9.0,9.1,8.9
"SERVE, Cuvée Maxence",2019,92.0,fine,9.6,9.4,9.5,9.0,9.0,9.1,9.1,9.1,9.0,9.0
"FÁUTOR, Fumé Blanc",2018,93.3,great,9.5,9.5,9.6,9.0,9.3,9.3,9.0,9.3,9.0,9.0
"BALLA GEZA, Stonewine, Furmint",2017,90.9,nice,9.5,9.6,9.5,8.9,8.9,8.9,8.8,8.9,9.1,8.8
"FÁUTOR, Vivienne Cuvée",2020,91.9,fine,9.6,9.5,9.6,9.0,9.1,9.1,9.0,9.0,9.0,9.0
"VIA VITICOLA, Pergament, Petit Verdot",2018,92.0,fine,9.4,9.5,9.6,9.1,9.1,9.0,9.0,9.1,9.0,8.8
"TERRA DACIA, Feteasca Neagra",2019,90.0,nice,9.4,9.5,9.4,8.8,8.7,8.8,9.0,8.7,9.0,8.7
"FÁUTOR, Aurore, Rara Neagra",2018,91.5,fine,9.3,9.5,9.5,8.9,9.0,9.0,9.2,9.0,9.2,8.9
"CRAMA FERDI, Cuvée Francisc",2018,94.0,great,9.7,9.7,9.6,9.4,9.2,9.2,9.3,9.3,9.1,9.1
"CORTEN, Cabernet Franc",2018,90.5,nice,9.3,9.4,9.3,8.9,8.9,9.0,8.9,8.9,9.0,8.9
"VALAHORUM, Mierla Alba",2017,91.2,fine,9.3,9.4,9.5,9.1,9.1,8.9,8.9,9.0,9.2,8.8
"NOVAK, Saperavi",2017,91.3,fine,9.5,9.4,9.5,9.1,9.0,8.7,9.2,8.9,9.3,8.7
"FÁUTOR, Aurore, Syrah – Cabernet Sauvignon",2017,92.0,fine,9.5,9.5,9.6,9.0,8.9,9.0,9.3,9.0,9.3,8.9
"AVINCIS, Cuvée Andrei, Cabernet Sauvignon",2017,92.5,fine,9.5,9.6,9.7,9.0,9.1,9.1,9.0,9.1,9.3,8.9
"EQUINOX, Sintagma",2017,93.2,great,9.6,9.7,9.7,9.0,9.0,9.1,9.4,9.0,9.4,9.0
"SERVE, Rouge",2015,91.3,fine,9.5,9.4,9.3,9.0,9.0,8.9,9.2,9.0,9.1,8.9
"DOMENIILE PRINCE MATEI, Merlot – Rezerva",2013,93.0,great,9.5,9.5,9.7,9.0,9.1,9.1,9.3,9.0,9.3,9.1
